StreetCode1,StreetCode2,StreetCode3,Violation County,NViolations
0,9980,0,K,1
0,12140,0,BX,1
0,13430,0,K,1
0,26820,0,BX,1
0,28410,0,BX,1
0,37430,0,K,1
0,40404,40404,BX,37
0,40404,40404,K,42
0,42630,0,K,1
5130,6130,6230,K,1
5180,27530,29830,K,1
5280,0,0,K,1
5280,7580,7680,K,1
5280,10080,10180,K,1
5280,11280,11330,K,1
5280,17380,68730,K,1
5280,80530,89530,K,1
5380,51030,20530,K,2
5380,77730,51030,K,2
5430,10330,10380,K,1
5430,11230,11280,K,1
5580,0,0,K,4
5580,5080,5230,K,1
5580,5230,5380,K,2
5580,5930,6030,K,1
5580,6530,6630,K,1
5580,6630,6730,K,4
5580,8780,8830,K,1
5580,9130,9180,K,1
5580,9280,9330,K,1
5580,9380,9430,K,1
5580,10380,10430,K,2
5580,10580,10630,K,1
5580,10630,10680,K,1
5580,19230,80430,K,1
5580,24830,43130,K,1
5580,32130,19330,K,1
5580,43130,5080,K,3
5580,68730,10180,K,1
5580,69330,15180,K,1
5580,80330,33730,K,1
5580,89530,69330,K,1
5680,0,0,K,1
5680,5230,5380,K,1
5680,5630,5730,K,2
5680,10580,10630,K,1
5680,40930,80430,K,1
5680,72730,69330,K,1
5780,0,0,K,1
5780,5630,5730,K,1
5780,5930,6030,K,1
5780,8830,8880,K,1
5830,5130,5280,K,1
5880,8580,8630,K,1
5880,8980,9030,K,1
5880,9130,9180,K,1
5880,9430,9480,K,1
5880,32600,8530,K,2
5880,40404,40404,K,1
5880,72430,6830,K,1
5930,5130,5280,K,1
5930,5430,5580,K,1
5930,5580,5680,K,1
5930,5680,5780,K,1
5980,8580,8630,K,1
6030,5580,5680,K,3
6080,10230,10280,K,1
6080,10430,10480,K,1
6080,10630,10680,K,1
6080,17380,10030,K,1
6080,72530,6730,K,1
6130,5680,5780,K,1
6180,17380,10030,K,1
6280,8880,8930,K,1
6280,9030,64730,K,2
6330,0,0,K,1
6330,5680,5780,K,1
6330,5880,72630,K,1
6380,8480,8530,K,1
6380,8530,8580,K,1
6380,9030,9080,K,1
6380,9080,9130,K,2
6380,9230,9280,K,2
6380,40404,40404,K,1
6380,84130,9730,K,1
6430,0,0,K,1
6430,5580,5680,K,3
6430,5780,5880,K,1
6430,5880,72630,K,2
6480,8630,8680,K,1
6480,8830,8880,K,1
6480,9030,9080,K,1
6530,5580,5680,K,1
6530,5780,5880,K,1
6530,5880,72630,K,1
6580,10880,19030,K,1
6630,5430,5580,K,1
6630,5680,5780,K,1
6630,5780,5880,K,3
6630,5880,72630,K,2
6680,9230,9280,K,1
6680,10480,10530,K,2
6680,17380,10030,K,1
6730,5580,5680,K,2
6730,5780,5880,K,2
6730,6080,6180,K,2
6730,6180,25340,K,1
6730,52430,5780,K,1
6730,90235,52430,K,1
6780,10380,10430,K,1
6780,10830,10880,K,1
6880,8830,8880,K,1
6880,9330,9380,K,1
6880,9630,9680,K,2
6880,9780,9830,K,1
6880,9830,9880,K,1
6880,9930,9980,K,1
6880,10080,10180,K,1
6880,10380,10430,K,1
6880,10430,10480,K,1
6880,10830,10880,K,2
6880,10880,19030,K,1
6880,28830,35180,K,2
6880,34980,34930,K,1
6880,40404,40404,K,1
6880,59430,8830,K,1
6930,5580,5680,K,1
6980,0,0,K,1
6980,10680,10730,K,2
7080,7130,77030,K,2
7080,10180,10230,K,1
7080,10380,10430,K,2
7080,10880,19030,K,1
7080,30630,7090,K,1
7130,7080,18950,K,1
7130,18950,7280,K,1
7180,76030,87430,K,1
7230,9580,9630,K,2
7330,5280,5430,K,1
7330,5430,5580,K,1
7380,5430,5580,K,2
7380,5580,5680,K,1
7430,9680,9730,K,1
