BOROUGH,NEIGHBORHOOD,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE
3,DOWNTOWN-METROTECH,0,2,2,20704,206000,1967,1.38E+08
3,DOWNTOWN-METROTECH,0,2,2,20600,164115,1926,98463962
4,JACKSON HEIGHTS,198,0,198,59000,194450,1940,85091472
1,MIDTOWN WEST,8,3,11,2008,8950,1920,83000000
3,FORT GREENE,0,3,3,12415,36000,1920,68000000
1,MIDTOWN CBD,1,0,1,-,-,2012,65661755
1,LOWER EAST SIDE,78,0,78,8000,57128,2014,61500000
3,CROWN HEIGHTS,63,3,66,13825,84860,2009,52000000
1,CIVIC CENTER,1,0,1,-,-,2007,47866945
1,JAVITS CENTER,0,0,0,11289,-,1900,33450000
4,JACKSON HEIGHTS,53,0,53,10000,42928,1920,31500000
1,MIDTOWN CBD,1,0,1,-,-,2012,31466270
1,MIDTOWN CBD,1,0,1,-,-,2012,30122241
1,FLATIRON,0,1,1,2711,9798,1913,29500000
3,BROOKLYN HEIGHTS,29,0,29,3404,41500,1987,28625000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,2005,28000000
1,MIDTOWN CBD,1,0,1,-,-,2012,27128425
1,FINANCIAL,0,0,0,-,-,-,26750000
1,CIVIC CENTER,0,2,2,2188,-,1900,25000000
1,GREENWICH VILLAGE-WEST,1,0,1,-,-,2013,24409940
1,UPPER WEST SIDE (59-79),1,0,1,-,-,2013,19695500
1,GREENWICH VILLAGE-WEST,24,0,24,4750,19888,1905,18000000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,2005,17650000
3,WILLIAMSBURG-SOUTH,14,2,16,6909,37500,2013,16900000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1961,16000000
1,LITTLE ITALY,26,3,29,1792,14931,1900,15200000
3,BOROUGH PARK,0,1,1,27000,11200,1960,15000000
1,KIPS BAY,0,1,1,4938,12226,1910,14700000
1,CHELSEA,0,0,0,-,-,-,14504000
1,MIDTOWN WEST,1,0,1,-,-,1955,14000000
1,FLATIRON,1,0,1,-,-,1915,13621140
1,CIVIC CENTER,1,0,1,-,-,2007,13576612
1,UPPER EAST SIDE (79-96),1,0,1,-,-,2013,13491812
1,UPPER WEST SIDE (79-96),0,0,1,-,-,1971,13000000
1,FLATIRON,1,0,1,-,-,2008,12900000
1,UPPER EAST SIDE (79-96),20,0,20,2605,9745,1916,12500000
1,GREENWICH VILLAGE-WEST,1,0,1,-,-,1895,12450000
1,CIVIC CENTER,1,0,1,-,-,2007,11996348
1,UPPER WEST SIDE (79-96),1,0,1,2013,8500,1910,11850000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1940,11449204
4,FLUSHING-NORTH,0,1,1,11820,2900,1971,11200000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,-,11155000
1,FLATIRON,1,0,1,-,-,1913,11000000
